Code,Date,High,Low,Close,Code,High,Low,Close,Code,High,Low,Close,Code,High,Low,Close,Cases India,Cases UK,Cases US,Cases STRAYA
XFJ,2019-11-15,6225.8,6184.8,6219.6,XHJ,40760.1,40181,40760.1,XIJ,1448.7,1423.6,1446.4,XJR,4763.7,4700.5,4748.8,0,0,0,0
XFJ,2019-11-18,6224.1,6164.6,6184.5,XHJ,40788.4,40320.3,40412.9,XIJ,1458.4,1432.5,1446.2,XJR,4762.1,4733.1,4742.6,0,0,0,0
XFJ,2019-11-19,6213.6,6153.1,6213.6,XHJ,40785.2,40354.1,40785.2,XIJ,1448,1418.4,1428.5,XJR,4770,4727.7,4770,0,0,0,0
XFJ,2019-11-20,6213.6,6075.1,6079.9,XHJ,40785.2,40110.2,40243.1,XIJ,1431.1,1417.1,1428.4,XJR,4770,4701,4717.5,0,0,0,0
XFJ,2019-11-21,6079.9,5994.5,6033.6,XHJ,40249.8,39668.2,39854,XIJ,1428.4,1404.5,1410.4,XJR,4717.5,4649.3,4673.4,0,0,0,0
XFJ,2019-11-22,6050.8,5999.8,6032.8,XHJ,40259.3,39854,40150.7,XIJ,1432.8,1410.4,1431.6,XJR,4740.2,4673.4,4725.6,0,0,0,0
XFJ,2019-11-25,6057.5,6015.3,6019.9,XHJ,40606.2,40150.7,40504.8,XIJ,1459.9,1431.6,1438.7,XJR,4794.8,4726.8,4771.8,0,0,0,0
XFJ,2019-11-26,6071.9,6019.9,6068.2,XHJ,41307.7,40504.8,41307.7,XIJ,1453.7,1438.4,1445,XJR,4828.4,4770.8,4808.8,0,0,0,0
XFJ,2019-11-27,6118,6053.6,6117.5,XHJ,41452.8,41062.6,41414.4,XIJ,1469,1445,1469,XJR,4864.6,4808.8,4862.8,0,0,0,0
XFJ,2019-11-28,6129.9,6100.2,6101.8,XHJ,41938.1,41407.4,41733.8,XIJ,1486.3,1469,1478.2,XJR,4888.1,4857.6,4873.2,0,0,0,0
XFJ,2019-11-29,6123.2,6074.3,6074.3,XHJ,42220.2,41731.5,41755.5,XIJ,1493.9,1471.2,1474.2,XJR,4898.1,4852.9,4852.9,0,0,0,0
XFJ,2019-12-02,6125.9,6066.9,6096,XHJ,42264.3,41755.5,42106.3,XIJ,1484.8,1472.8,1477,XJR,4871.2,4820.5,4854.7,0,0,0,0
XFJ,2019-12-03,6096,5956.1,5966.4,XHJ,42106.3,40878,40912.7,XIJ,1477,1432.9,1436.9,XJR,4854.7,4764.8,4789.1,0,0,0,0
XFJ,2019-12-04,5966.4,5857,5864.4,XHJ,40912.7,40302.9,40617.1,XIJ,1436.9,1403.9,1407.2,XJR,4789.1,4682.3,4705.8,0,0,0,0
XFJ,2019-12-05,5949.8,5864.4,5944.3,XHJ,41245.4,40457.5,40772.4,XIJ,1447.5,1407.2,1427.7,XJR,4774.8,4705.8,4760.1,0,0,0,0
XFJ,2019-12-06,5964.7,5944.3,5961.2,XHJ,41214.4,40768,41214.4,XIJ,1439.9,1410.6,1439.6,XJR,4769.8,4748.2,4760,0,0,0,0
XFJ,2019-12-09,5994.9,5960.7,5981.2,XHJ,41346.5,40867.9,40887.4,XIJ,1448.3,1431.6,1436.5,XJR,4835.3,4760,4829,0,0,0,0
XFJ,2019-12-10,5987.1,5947.5,5954.7,XHJ,41182.3,40832.5,40839.1,XIJ,1436.5,1415.8,1425.5,XJR,4858.2,4829,4842,0,0,0,0
XFJ,2019-12-11,6002.8,5954.7,6002.8,XHJ,41298.4,40767.1,41248,XIJ,1427.9,1404.1,1413.9,XJR,4875.9,4842,4874.1,0,0,0,0
XFJ,2019-12-12,6002.8,5940.9,5946.7,XHJ,41567.7,40938.1,40951.4,XIJ,1413.9,1390.7,1397.6,XJR,4885.4,4858.8,4873.5,0,0,0,0
XFJ,2019-12-13,6054.1,5946.7,6029.7,XHJ,41233.8,40676.1,40827.8,XIJ,1422.1,1397.6,1418.9,XJR,4944.1,4873.5,4927.4,0,0,0,0
XFJ,2019-12-16,6141.8,6029.7,6129.7,XHJ,42002.9,40827.8,41839,XIJ,1451.7,1413,1443.7,XJR,5005.1,4927.4,4992.9,0,0,0,0
XFJ,2019-12-17,6145.8,6094.5,6124.1,XHJ,42018.2,41590.2,41765,XIJ,1464.4,1434,1437.8,XJR,5012.7,4988.3,4997.3,0,0,0,0
XFJ,2019-12-18,6127.5,6076.1,6106.5,XHJ,42232.3,41765,42131.9,XIJ,1449.4,1426,1439.4,XJR,5005.9,4982.3,4991.4,0,0,0,0
XFJ,2019-12-19,6130.7,6070.1,6083.3,XHJ,42178.3,41544.1,41668.2,XIJ,1453.9,1434.5,1436.9,XJR,4996.5,4971.5,4977,0,0,0,0
XFJ,2019-12-20,6087.4,6047.7,6060.5,XHJ,41912.8,41384.1,41563.9,XIJ,1445.3,1430.9,1434,XJR,4991,4966.3,4976.8,0,0,0,0
XFJ,2019-12-23,6062,6039.7,6045.3,XHJ,41745.2,41203.6,41203.6,XIJ,1448.7,1430.9,1440.3,XJR,4976.8,4913.5,4919.1,0,0,0,0
XFJ,2019-12-24,6047,6015.7,6031.4,XHJ,41725.9,41201.5,41601.2,XIJ,1443.7,1427.7,1432.6,XJR,4952.8,4919.1,4945.3,0,0,0,0
XFJ,2019-12-27,6062.1,6028.3,6058.6,XHJ,41765.6,41376.3,41408.1,XIJ,1451.1,1432.6,1447.6,XJR,5001,4945.3,4992.5,0,0,0,0
XFJ,2019-12-30,6063.2,6006.4,6056.7,XHJ,41671.8,41201.3,41605.2,XIJ,1451.8,1437.3,1449.6,XJR,4992.5,4946.1,4974.5,0,0,0,0
XFJ,2019-12-31,6056.7,5962.7,5975.4,XHJ,41606.2,40620.4,40635.5,XIJ,1449.6,1403.9,1406.5,XJR,4974.5,4922.2,4922.2,0,0,0,0
XFJ,2020-01-02,5984.7,5937.8,5971.4,XHJ,40979.5,40537.2,40537.2,XIJ,1420.3,1403.7,1410.5,XJR,4942.6,4908.2,4924.4,0,0,0,0
XFJ,2020-01-03,6063.4,5971.4,6010.8,XHJ,41365.9,40537.2,40850.6,XIJ,1448.3,1410.5,1423.5,XJR,4981.3,4924.4,4967.9,0,0,0,0
XFJ,2020-01-06,6010.8,5933.1,5976,XHJ,40855.1,40413.4,40823.3,XIJ,1424.3,1399.3,1421.4,XJR,5020.6,4949.7,5018.3,0,0,0,0
XFJ,2020-01-07,6071.8,5976,6064.7,XHJ,41702.1,40823.3,41646.1,XIJ,1448.1,1421.4,1444.9,XJR,5048.1,5015.8,5041.9,0,0,0,0
XFJ,2020-01-08,6065.7,5967.5,6033.6,XHJ,41931.9,40996.1,41860.2,XIJ,1445.2,1407.7,1427.1,XJR,5074.3,5038.7,5066.2,0,0,0,0
XFJ,2020-01-09,6105.7,6033.6,6063.5,XHJ,42603.5,41860.2,42603.5,XIJ,1462.9,1427.1,1458.3,XJR,5090.4,5051.7,5077.1,0,0,0,0
XFJ,2020-01-10,6123.7,6063.5,6120,XHJ,43524.5,42597.1,43503.3,XIJ,1479.1,1458.3,1476.4,XJR,5077.1,5038.6,5064.9,0,0,0,0
XFJ,2020-01-13,6120,6067.2,6102.1,XHJ,43503.3,42839.7,43014.5,XIJ,1490.4,1457.5,1488,XJR,5064.9,5020.1,5037.5,0,0,0,0
XFJ,2020-01-14,6155,6102.1,6140.6,XHJ,43655.8,43014.5,43340.2,XIJ,1509.9,1488,1496,XJR,5097.3,5037.5,5097.3,0,0,0,0
XFJ,2020-01-15,6169,6140.6,6167,XHJ,43613.8,43007.9,43580.2,XIJ,1506.9,1494.9,1501.6,XJR,5128.6,5097.3,5119.6,0,0,0,0
XFJ,2020-01-16,6233,6167,6233,XHJ,43995,43568,43972.7,XIJ,1529.7,1501.6,1527.5,XJR,5132.8,5107.9,5119.6,0,0,0,0
XFJ,2020-01-17,6279.4,6231.6,6231.6,XHJ,44278.1,43915.9,44022.2,XIJ,1549.6,1527.5,1532.8,XJR,5167.8,5119.6,5162.7,0,0,0,0
XFJ,2020-01-20,6246.8,6223.5,6228.7,XHJ,44506.8,44022.2,44345.2,XIJ,1549.1,1532.8,1536.3,XJR,5234.2,5162.7,5220.8,0,0,1,0
XFJ,2020-01-21,6229.6,6187.5,6209.9,XHJ,44493.5,44187.5,44454.7,XIJ,1545.4,1508.8,1516.8,XJR,5220.8,5191.4,5215.2,0,0,0,0
XFJ,2020-01-22,6275.8,6201.6,6264.8,XHJ,45196.1,44379.5,45088.6,XIJ,1543,1516.8,1540.8,XJR,5251.2,5186.8,5240.8,0,0,0,0
XFJ,2020-01-23,6275.6,6230.6,6245,XHJ,45088.6,44504.5,44877.8,XIJ,1550,1534.7,1545.7,XJR,5245.7,5167.4,5182.1,0,0,0,0
XFJ,2020-01-24,6291.5,6245,6264.2,XHJ,45521.2,44877.8,45193.7,XIJ,1556.4,1543,1549.6,XJR,5182.1,5124.5,5134.5,0,0,1,0
XFJ,2020-01-28,6264.2,6159.7,6186.1,XHJ,45903.4,45014.2,45361.2,XIJ,1549.6,1510.8,1526.5,XJR,5134.5,4964.1,4990.9,0,0,0,0
XFJ,2020-01-29,6255.8,6186.1,6242.5,XHJ,45941.9,45361.2,45868.7,XIJ,1558.5,1526.5,1552.5,XJR,5014.7,4990.4,4997,0,0,0,0
XFJ,2020-01-30,6268.5,6240.3,6266.1,XHJ,45877.3,45229.2,45229.2,XIJ,1555,1530.3,1536.3,XJR,4997.7,4944.9,4950,1,0,1,0
XFJ,2020-01-31,6294.3,6245.4,6255.4,XHJ,45720.1,45210,45527.9,XIJ,1568.3,1536.3,1562.9,XJR,4986.2,4950,4960,0,2,1,0
XFJ,2020-02-03,6255.4,6131.8,6167.5,XHJ,45527.9,45035.3,45324.1,XIJ,1562.9,1531,1547.5,XJR,4960,4821,4821,0,0,0,0
XFJ,2020-02-04,6209.4,6150.3,6190.3,XHJ,45991.9,45324.1,45583.9,XIJ,1563,1547.5,1558.3,XJR,4823.6,4773.7,4817,1,1,0,0
