Code,Date,Open,High,Low,Close,Volume,Value,Trades,N/A,N/A
XJR,2020-1-24,0,5182.1,5124.5,5134.5,0,0,0,N/A,N/A
XJR,2020-1-28,0,5134.5,4964.1,4990.9,0,0,0,N/A,N/A
XJR,2020-1-29,0,5014.7,4990.4,4997,0,0,0,N/A,N/A
XJR,2020-1-30,0,4997.7,4944.9,4950,0,0,0,N/A,N/A
XJR,2020-1-31,0,4986.2,4950,4960,0,0,0,N/A,N/A
XJR,2020-2-3,0,4960,4821,4821,0,0,0,N/A,N/A
XJR,2020-2-4,0,4823.6,4773.7,4817,0,0,0,N/A,N/A
XJR,2020-2-5,0,4864.2,4817,4864.2,0,0,0,N/A,N/A
XJR,2020-2-6,0,4924.8,4864.2,4924.8,0,0,0,N/A,N/A
XJR,2020-2-7,0,4924.8,4854.5,4861.7,0,0,0,N/A,N/A
XJR,2020-2-10,0,4861.7,4800.8,4838.5,0,0,0,N/A,N/A
XJR,2020-2-11,0,4865.5,4827.6,4862.1,0,0,0,N/A,N/A
XJR,2020-2-12,0,4871.9,4834.9,4851,0,0,0,N/A,N/A
XJR,2020-2-13,0,4911.7,4851,4865.4,0,0,0,N/A,N/A
XJR,2020-2-14,0,4874.7,4831,4843.7,0,0,0,N/A,N/A
XJR,2020-2-17,0,4863.1,4836.1,4846.3,0,0,0,N/A,N/A
XJR,2020-2-18,0,4862.8,4823.4,4838.6,0,0,0,N/A,N/A
XJR,2020-2-19,0,4868.8,4830.8,4866.1,0,0,0,N/A,N/A
XJR,2020-2-20,0,4915.7,4866.1,4889.5,0,0,0,N/A,N/A
XJR,2020-2-21,0,4889.5,4851.5,4851.5,0,0,0,N/A,N/A
XJR,2020-2-24,0,4851.5,4735.9,4746.8,0,0,0,N/A,N/A
XJR,2020-2-25,0,4746.8,4631.2,4639.4,0,0,0,N/A,N/A
XJR,2020-2-26,0,4639.4,4526,4531.8,0,0,0,N/A,N/A
XJR,2020-2-27,0,4551.6,4460,4491,0,0,0,N/A,N/A
XJR,2020-2-28,0,4491,4275.4,4283.6,0,0,0,N/A,N/A
XJR,2020-3-2,0,4275.3,4097.5,4267.2,0,0,0,N/A,N/A
XJR,2020-3-3,0,4378.1,4267.2,4314.2,0,0,0,N/A,N/A
XJR,2020-3-4,0,4326,4276.4,4301,0,0,0,N/A,N/A
XJR,2020-3-5,0,4369.1,4292.3,4309.3,0,0,0,N/A,N/A
XJR,2020-3-6,0,4309.3,4197.2,4197.2,0,0,0,N/A,N/A
XJR,2020-3-9,0,4197.2,3675.8,3675.8,0,0,0,N/A,N/A
