Code,Date,Open,High,Low,Close,Volume,Value,Trades
XIJ,2019-11-22,0,1432.8,1410.4,1431.6,0,0,0
XIJ,2019-11-25,0,1459.9,1431.6,1438.7,0,0,0
XIJ,2019-11-26,0,1453.7,1438.4,1445,0,0,0
XIJ,2019-11-27,0,1469,1445,1469,0,0,0
XIJ,2019-11-28,0,1486.3,1469,1478.2,0,0,0
XIJ,2019-11-29,0,1493.9,1471.2,1474.2,0,0,0
XIJ,2019-12-2,0,1484.8,1472.8,1477,0,0,0
XIJ,2019-12-3,0,1477,1432.9,1436.9,0,0,0
XIJ,2019-12-4,0,1436.9,1403.9,1407.2,0,0,0
XIJ,2019-12-5,0,1447.5,1407.2,1427.7,0,0,0
XIJ,2019-12-6,0,1439.9,1410.6,1439.6,0,0,0
XIJ,2019-12-9,0,1448.3,1431.6,1436.5,0,0,0
XIJ,2019-12-10,0,1436.5,1415.8,1425.5,0,0,0
XIJ,2019-12-11,0,1427.9,1404.1,1413.9,0,0,0
XIJ,2019-12-12,0,1413.9,1390.7,1397.6,0,0,0
XIJ,2019-12-13,0,1422.1,1397.6,1418.9,0,0,0
XIJ,2019-12-16,0,1451.7,1413,1443.7,0,0,0
XIJ,2019-12-17,0,1464.4,1434,1437.8,0,0,0
XIJ,2019-12-18,0,1449.4,1426,1439.4,0,0,0
XIJ,2019-12-19,0,1453.9,1434.5,1436.9,0,0,0
XIJ,2019-12-20,0,1445.3,1430.9,1434,0,0,0
XIJ,2019-12-23,0,1448.7,1430.9,1440.3,0,0,0
XIJ,2019-12-24,0,1443.7,1427.7,1432.6,0,0,0
XIJ,2019-12-27,0,1451.1,1432.6,1447.6,0,0,0
XIJ,2019-12-30,0,1451.8,1437.3,1449.6,0,0,0
XIJ,2019-12-31,0,1449.6,1403.9,1406.5,0,0,0
XIJ,2020-1-2,0,1420.3,1403.7,1410.5,0,0,0
XIJ,2020-1-3,0,1448.3,1410.5,1423.5,0,0,0
XIJ,2020-1-6,0,1424.3,1399.3,1421.4,0,0,0
XIJ,2020-1-7,0,1448.1,1421.4,1444.9,0,0,0
XIJ,2020-1-8,0,1445.2,1407.7,1427.1,0,0,0
XIJ,2020-1-9,0,1462.9,1427.1,1458.3,0,0,0
XIJ,2020-1-10,0,1479.1,1458.3,1476.4,0,0,0
XIJ,2020-1-13,0,1490.4,1457.5,1488,0,0,0
XIJ,2020-1-14,0,1509.9,1488,1496,0,0,0
XIJ,2020-1-15,0,1506.9,1494.9,1501.6,0,0,0
XIJ,2020-1-16,0,1529.7,1501.6,1527.5,0,0,0
XIJ,2020-1-17,0,1549.6,1527.5,1532.8,0,0,0
XIJ,2020-1-20,0,1549.1,1532.8,1536.3,0,0,0
XIJ,2020-1-21,0,1545.4,1508.8,1516.8,0,0,0
XIJ,2020-1-22,0,1543,1516.8,1540.8,0,0,0
XIJ,2020-1-23,0,1550,1534.7,1545.7,0,0,0
XIJ,2020-1-24,0,1556.4,1543,1549.6,0,0,0
XIJ,2020-1-28,0,1549.6,1510.8,1526.5,0,0,0
XIJ,2020-1-29,0,1558.5,1526.5,1552.5,0,0,0
XIJ,2020-1-30,0,1555,1530.3,1536.3,0,0,0
XIJ,2020-1-31,0,1568.3,1536.3,1562.9,0,0,0
XIJ,2020-2-3,0,1562.9,1531,1547.5,0,0,0
XIJ,2020-2-4,0,1563,1547.5,1558.3,0,0,0
XIJ,2020-2-5,0,1592.7,1558.3,1590.7,0,0,0
XIJ,2020-2-6,0,1608.2,1581.2,1594.9,0,0,0
XIJ,2020-2-7,0,1599.3,1582.1,1587.8,0,0,0
XIJ,2020-2-10,0,1590.2,1568.1,1570.8,0,0,0
XIJ,2020-2-11,0,1599.3,1570.8,1597.5,0,0,0
XIJ,2020-2-12,0,1607.5,1578.1,1588.9,0,0,0
XIJ,2020-2-13,0,1612.8,1588.9,1594.2,0,0,0
XIJ,2020-2-14,0,1595.2,1575.6,1586.7,0,0,0
XIJ,2020-2-17,0,1604.5,1586.7,1604.4,0,0,0
XIJ,2020-2-18,0,1604.4,1552.2,1585.6,0,0,0
XIJ,2020-2-19,0,1585.6,1528.7,1535.8,0,0,0
XIJ,2020-2-20,0,1551.2,1507.8,1509.5,0,0,0
XIJ,2020-2-21,0,1511.5,1493.7,1495,0,0,0
XIJ,2020-2-24,0,1495,1436.5,1436.5,0,0,0
XIJ,2020-2-25,0,1444.3,1368.2,1432.6,0,0,0
XIJ,2020-2-26,0,1432.6,1376.8,1380.9,0,0,0
XIJ,2020-2-27,0,1398.6,1348.3,1351.1,0,0,0
XIJ,2020-2-28,0,1351.1,1280,1287.5,0,0,0
XIJ,2020-3-2,0,1304.5,1259.1,1298.4,0,0,0
XIJ,2020-3-3,0,1360.4,1298.4,1331.1,0,0,0
XIJ,2020-3-4,0,1331.1,1275.5,1275.5,0,0,0
XIJ,2020-3-5,0,1315.5,1275.5,1294.3,0,0,0
XIJ,2020-3-6,0,1294.3,1240.1,1240.1,0,0,0
XIJ,2020-3-9,0,1240.1,1127.5,1128,0,0,0
XIJ,2020-3-10,0,1182.5,1084,1180.6,0,0,0
XIJ,2020-3-11,0,1190.7,1139.4,1139.4,0,0,0
XIJ,2020-3-12,0,1139.4,1041.8,1055.7,0,0,0
XIJ,2020-3-13,0,1092.7,977.5,1092.7,0,0,0
XIJ,2020-3-16,0,1092.7,978,978,0,0,0
XIJ,2020-3-17,0,1024,954.2,1023.5,0,0,0
XIJ,2020-3-18,0,1023.5,908,923.3,0,0,0
XIJ,2020-3-19,0,959,883.8,892.8,0,0,0
XIJ,2020-3-20,0,963.7,892.8,914.1,0,0,0
XIJ,2020-3-23,0,914.1,818.9,847.9,0,0,0
XIJ,2020-3-24,0,912.8,847.9,904.2,0,0,0
XIJ,2020-3-25,0,983.4,904.2,946.4,0,0,0
XIJ,2020-3-26,0,1029.5,946.4,1016.8,0,0,0
XIJ,2020-3-27,0,1077.3,982,991.6,0,0,0
XIJ,2020-3-30,0,1045.3,981.5,1045.3,0,0,0
XIJ,2020-3-31,0,1099.5,1037.3,1056.3,0,0,0
XIJ,2020-4-1,0,1091,1056.3,1084.1,0,0,0
XIJ,2020-4-2,0,1084.1,1040.9,1045,0,0,0
XIJ,2020-4-3,0,1083.7,1022.3,1028.8,0,0,0
XIJ,2020-4-6,0,1077.8,1028.8,1072.6,0,0,0
XIJ,2020-4-7,0,1124.9,1072.6,1101.3,0,0,0
XIJ,2020-4-8,0,1112.2,1072.6,1095,0,0,0
XIJ,2020-4-9,0,1146.9,1095,1146.9,0,0,0
XIJ,2020-4-14,0,1213.3,1146.9,1213.3,0,0,0
XIJ,2020-4-15,0,1231.2,1205.4,1217.2,0,0,0
XIJ,2020-4-16,0,1217.2,1189.9,1201.9,0,0,0
XIJ,2020-4-17,0,1251.9,1201.9,1224,0,0,0
XIJ,2020-4-20,0,1234,1213.3,1215.8,0,0,0
XIJ,2020-4-21,0,1215.8,1151.1,1156.5,0,0,0
XIJ,2020-4-22,0,1167.5,1124.2,1160,0,0,0
XIJ,2020-4-23,0,1186.3,1156.4,1164.9,0,0,0
XIJ,2020-4-24,0,1179.5,1157.4,1167.6,0,0,0
XIJ,2020-4-27,0,1212.8,1167.6,1209.9,0,0,0
XIJ,2020-4-28,0,1229.9,1209.9,1224.4,0,0,0
XIJ,2020-4-29,0,1233.7,1210.1,1233.7,0,0,0
XIJ,2020-4-30,0,1298.2,1233.7,1294.3,0,0,0
XIJ,2020-5-1,0,1294.3,1244.8,1244.8,0,0,0
XIJ,2020-5-4,0,1310.2,1244.8,1307.5,0,0,0
XIJ,2020-5-5,0,1344.3,1307.5,1344.1,0,0,0
XIJ,2020-5-6,0,1365.5,1340,1365.2,0,0,0
XIJ,2020-5-7,0,1375.7,1351.6,1374.7,0,0,0
XIJ,2020-5-8,0,1394.6,1374.7,1385.9,0,0,0
XIJ,2020-5-11,0,1420.4,1385.9,1411.8,0,0,0
XIJ,2020-5-12,0,1411.8,1383,1398.9,0,0,0
XIJ,2020-5-13,0,1406.2,1358.6,1406.2,0,0,0
XIJ,2020-5-14,0,1406.2,1366.2,1366.2,0,0,0
XIJ,2020-5-15,0,1378.7,1338.1,1352.3,0,0,0
XIJ,2020-5-18,0,1385.3,1352.3,1375.7,0,0,0
XIJ,2020-5-19,0,1407.3,1375.7,1392.1,0,0,0
XIJ,2020-5-20,0,1433.1,1387.6,1422.3,0,0,0
XIJ,2020-5-21,0,1445.8,1422.3,1429.7,0,0,0
XIJ,2020-5-22,0,1444.1,1426.6,1429.7,0,0,0
XIJ,2020-5-25,0,1481.3,1429.7,1481.3,0,0,0
XIJ,2020-5-26,0,1519,1481.3,1515.5,0,0,0
XIJ,2020-5-27,0,1515.5,1471.7,1477.8,0,0,0
XIJ,2020-5-28,0,1501.1,1474.7,1479.2,0,0,0
XIJ,2020-5-29,0,1490.7,1469.1,1482.1,0,0,0
XIJ,2020-6-1,0,1495.8,1466.5,1488,0,0,0
XIJ,2020-6-2,0,1511.7,1485.8,1507.9,0,0,0
XIJ,2020-6-3,0,1548.4,1507.9,1547.9,0,0,0
XIJ,2020-6-4,0,1567.4,1537.9,1546.8,0,0,0
XIJ,2020-6-5,0,1546.8,1511.7,1518.8,0,0,0
XIJ,2020-6-9,0,1536.3,1494.2,1496.8,0,0,0
XIJ,2020-6-10,0,1549.3,1495.9,1543.1,0,0,0
XIJ,2020-6-11,0,1543.1,1496.9,1504.7,0,0,0
XIJ,2020-6-12,0,1504.7,1431.7,1479.2,0,0,0
XIJ,2020-6-15,0,1510.3,1455.5,1455.5,0,0,0
XIJ,2020-6-16,0,1541.2,1455.5,1538.8,0,0,0
XIJ,2020-6-17,0,1572.4,1538.8,1572.4,0,0,0
XIJ,2020-6-18,0,1584.1,1556.4,1566.3,0,0,0
XIJ,2020-6-19,0,1609.9,1566.3,1595.1,0,0,0
XIJ,2020-6-22,0,1595.1,1555.8,1567.5,0,0,0
XIJ,2020-6-23,0,1608.1,1547.7,1572.2,0,0,0
XIJ,2020-6-24,0,1617,1572.2,1590.3,0,0,0
XIJ,2020-6-25,0,1590.3,1539.4,1539.4,0,0,0
XIJ,2020-6-26,0,1560.4,1533.5,1552,0,0,0
XIJ,2020-6-29,0,1552,1518.5,1530.8,0,0,0
XIJ,2020-6-30,0,1585.7,1530.8,1570.4,0,0,0
XIJ,2020-7-1,0,1613.2,1565.9,1595.2,0,0,0
XIJ,2020-7-2,0,1659.8,1595.2,1654.8,0,0,0
XIJ,2020-7-3,0,1689.7,1646.2,1665.5,0,0,0
XIJ,2020-7-6,0,1684.3,1664.9,1668.8,0,0,0
XIJ,2020-7-7,0,1700.7,1668.8,1685.4,0,0,0
XIJ,2020-7-8,0,1685.4,1657.9,1657.9,0,0,0
XIJ,2020-7-9,0,1736.2,1657.9,1710,0,0,0
XIJ,2020-7-10,0,1741,1693.6,1697.2,0,0,0
XIJ,2020-7-13,0,1720.7,1654.4,1680.1,0,0,0
XIJ,2020-7-14,0,1680.1,1607.5,1612.7,0,0,0
XIJ,2020-7-15,0,1663.1,1612.7,1657.3,0,0,0
XIJ,2020-7-16,0,1672.2,1634.9,1637.9,0,0,0
XIJ,2020-7-17,0,1656.8,1618.1,1636.5,0,0,0
XIJ,2020-7-20,0,1661.4,1636.5,1658.5,0,0,0
XIJ,2020-7-21,0,1753.6,1658.5,1753.6,0,0,0
XIJ,2020-7-22,0,1753.6,1704.7,1711.8,0,0,0
XIJ,2020-7-23,0,1719.6,1692.1,1703.7,0,0,0
XIJ,2020-7-24,0,1703.7,1654.4,1667.9,0,0,0
XIJ,2020-7-27,0,1690,1655.3,1680.1,0,0,0
XIJ,2020-7-28,0,1704.9,1654.8,1655.1,0,0,0
XIJ,2020-7-29,0,1655.1,1621.6,1629.2,0,0,0
XIJ,2020-7-30,0,1675.1,1629.2,1668.1,0,0,0
XIJ,2020-7-31,0,1682.4,1635.7,1643.3,0,0,0
XIJ,2020-8-3,0,1650.1,1620.5,1644.3,0,0,0
XIJ,2020-8-4,0,1716,1644.3,1697.3,0,0,0
XIJ,2020-8-5,0,1699.6,1674.8,1691.3,0,0,0
XIJ,2020-8-6,0,1705.4,1681.9,1690.6,0,0,0
XIJ,2020-8-7,0,1694.9,1678.2,1680.9,0,0,0
XIJ,2020-8-10,0,1711.3,1675.7,1703.3,0,0,0
XIJ,2020-8-11,0,1703.3,1663.1,1668.9,0,0,0
XIJ,2020-8-12,0,1668.9,1645.7,1651.2,0,0,0
XIJ,2020-8-13,0,1692.7,1651.2,1659.5,0,0,0
XIJ,2020-8-14,0,1730.3,1659.5,1729.1,0,0,0
XIJ,2020-8-17,0,1729.1,1701.8,1705.5,0,0,0
XIJ,2020-8-18,0,1749,1705.5,1741.9,0,0,0
XIJ,2020-8-19,0,1796.8,1741.9,1786.5,0,0,0
XIJ,2020-8-20,0,1828.9,1786.5,1802.3,0,0,0
XIJ,2020-8-21,0,1830.8,1802.3,1808,0,0,0
XIJ,2020-8-24,0,1865.8,1808,1865.8,0,0,0
XIJ,2020-8-25,0,1937.6,1865.8,1932.7,0,0,0
XIJ,2020-8-26,0,1932.7,1905.3,1915.6,0,0,0
XIJ,2020-8-27,0,1932.7,1869.5,1909.2,0,0,0
XIJ,2020-8-28,0,1909.2,1851,1871.2,0,0,0
XIJ,2020-8-31,0,1916.7,1862.5,1894.1,0,0,0
XIJ,2020-9-1,0,1894.1,1811.1,1829,0,0,0
XIJ,2020-9-2,0,1853.9,1774.3,1841.5,0,0,0
XIJ,2020-9-3,0,1873.1,1820.4,1838.6,0,0,0
XIJ,2020-9-4,0,1838.6,1733.6,1735.8,0,0,0
XIJ,2020-9-7,0,1735.8,1694.4,1724.9,0,0,0
XIJ,2020-9-8,0,1743.5,1711.5,1725.4,0,0,0
XIJ,2020-9-9,0,1725.4,1655.8,1684.1,0,0,0
XIJ,2020-9-10,0,1741.2,1684.1,1706.8,0,0,0
XIJ,2020-9-11,0,1706.8,1665.7,1673.1,0,0,0
XIJ,2020-9-14,0,1684,1632.5,1661.8,0,0,0
XIJ,2020-9-15,0,1693.4,1661.8,1681.7,0,0,0
XIJ,2020-9-16,0,1724.7,1681.7,1721.5,0,0,0
XIJ,2020-9-17,0,1721.5,1670.3,1670.3,0,0,0
XIJ,2020-9-18,0,1702.5,1670.3,1691.1,0,0,0
XIJ,2020-9-21,0,1696,1665.2,1671.7,0,0,0
XIJ,2020-9-22,0,1715.1,1667.4,1709.6,0,0,0
